"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 12 15:10:38 GMT 2025","Wed Feb 12 15:10:40 GMT 2025","1285","tests.dashboard","test_dashboard","TestDashboard","","","Check displaying of dashboard page",""
"passed","Wed Feb 12 15:10:33 GMT 2025","Wed Feb 12 15:10:35 GMT 2025","1705","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Wed Feb 12 15:10:38 GMT 2025","Wed Feb 12 15:10:40 GMT 2025","2039","tests.courses","test_courses","TestCourses","","","Create course",""
"passed","Wed Feb 12 15:10:34 GMT 2025","Wed Feb 12 15:10:36 GMT 2025","1510","tests.authentication","test_authorization","TestAuthorization","","","Navigation from login page to registration page",""
"passed","Wed Feb 12 15:10:40 GMT 2025","Wed Feb 12 15:10:40 GMT 2025","1","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Wed Feb 12 15:10:40 GMT 2025","Wed Feb 12 15:10:40 GMT 2025","1","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Wed Feb 12 15:10:40 GMT 2025","Wed Feb 12 15:10:40 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Wed Feb 12 15:10:40 GMT 2025","Wed Feb 12 15:10:40 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Wed Feb 12 15:10:37 GMT 2025","Wed Feb 12 15:10:38 GMT 2025","997","tests.courses","test_courses","TestCourses","","","Check displaying of empty courses list",""
"passed","Wed Feb 12 15:10:31 GMT 2025","Wed Feb 12 15:10:33 GMT 2025","1327","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Wed Feb 12 15:10:35 GMT 2025","Wed Feb 12 15:10:36 GMT 2025","1168","tests.authentication","test_registration","TestRegistration","","","Registration with correct email, username and password",""
"passed","Wed Feb 12 15:10:30 GMT 2025","Wed Feb 12 15:10:31 GMT 2025","1305","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Wed Feb 12 15:10:40 GMT 2025","Wed Feb 12 15:10:40 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Wed Feb 12 15:10:40 GMT 2025","Wed Feb 12 15:10:40 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Wed Feb 12 15:10:30 GMT 2025","Wed Feb 12 15:10:32 GMT 2025","2795","tests.authentication","test_authorization","TestAuthorization","","","User login with correct email and password",""
